Check Item Label,Calculated Value,Calculated Unit,Calculated Page,Status,Source Document Label,Source Value,Source Unit,Source Page,Confidence,AI Reasoning
屋根 固定荷重,1200.0,N/m²,1,Approved,折板葺き（断熱材あり） 固定荷重,1200.0,N/m²,1,0.95,ファイルAの項目名、数値、単位がファイルBの参照データと完全に一致しました。
床（2階） 固定荷重,3500.0,N/m²,1,Approved,OAフロア＋スラブ（t=130mm） 固定荷重,3500.0,N/m²,1,0.95,ファイルAの項目名（OAフロア＋スラブ）、数値、単位がファイルBの参照データと完全に一致しました。
外壁 固定荷重,800.0,N/m²,1,Approved,ALC パネル（t=75mm） 固定荷重,800.0,N/m²,2,0.95,ファイルAの項目名（ALC 75mm）、数値、単位がファイルBの参照データと完全に一致しました。
内壁 固定荷重,350.0,N/m²,2,Approved,軽鉄間仕切り（石膏ボード両面） 固定荷重,350.0,N/m²,2,0.95,ファイルAの項目名（軽鉄間仕切り）、数値、単位がファイルBの参照データと完全に一致しました。
事務室 積載荷重 (床用),2900.0,N/m²,2,Approved,事務室 積載荷重 (床用),2900.0,N/m²,2,0.95,ファイルAの項目名、数値、単位がファイルBの参照データと完全に一致しました。
事務室 積載荷重 (大梁・柱用),1800.0,N/m²,2,Approved,事務室 積載荷重 (大梁・柱用),1800.0,N/m²,2,0.95,ファイルAの項目名、数値、単位がファイルBの参照データと完全に一致しました。
事務室 積載荷重 (地震用),1300.0,N/m²,2,Approved,事務室 積載荷重 (地震用),1300.0,N/m²,2,0.95,ファイルAの項目名、数値、単位がファイルBの参照データと完全に一致しました。
廊下・階段 積載荷重 (床用),3500.0,N/m²,2,Approved,廊下・階段・玄関 積載荷重 (床用),3500.0,N/m²,2,0.95,ファイルAの項目名とファイルBの参照データは「玄関」の有無で一部異なりますが、数値、単位、および文脈（令85条 表1）から一致すると判断しました。
廊下・階段 積載荷重 (大梁・柱用),2500.0,N/m²,2,Approved,廊下・階段・玄関 積載荷重 (大梁・柱用),2500.0,N/m²,2,0.95,ファイルAの項目名とファイルBの参照データは「玄関」の有無で一部異なりますが、数値、単位、および文脈（令85条 表1）から一致すると判断しました。
廊下・階段 積載荷重 (地震用),1500.0,N/m²,2,Approved,廊下・階段・玄関 積載荷重 (地震用),1500.0,N/m²,2,0.95,ファイルAの項目名とファイルBの参照データは「玄関」の有無で一部異なりますが、数値、単位、および文脈（令85条 表1）から一致すると判断しました。
屋上（一般） 積載荷重 (床用),1800.0,N/m²,2,Approved,屋上（一般） 積載荷重 (床用),1800.0,N/m²,2,0.95,ファイルAの項目名、数値、単位がファイルBの参照データと完全に一致しました。
屋上（一般） 積載荷重 (大梁・柱用),1300.0,N/m²,2,Approved,屋上（一般） 積載荷重 (大梁・柱用),1300.0,N/m²,2,0.95,ファイルAの項目名、数値、単位がファイルBの参照データと完全に一致しました。
屋上（一般） 積載荷重 (地震用),600.0,N/m²,2,Approved,屋上（一般） 積載荷重 (地震用),600.0,N/m²,2,0.95,ファイルAの項目名、数値、単位がファイルBの参照データと完全に一致しました。
機械室 積載荷重 (床用),5000.0,N/m²,2,Approved,機械室・倉庫 積載荷重 (床用),5000.0,N/m²,2,0.95,ファイルAの項目名とファイルBの参照データは「倉庫」の有無で一部異なりますが、数値、単位、および文脈（荷重指針 p.53）から一致すると判断しました。
機械室 積載荷重 (大梁・柱用),5000.0,N/m²,2,Approved,機械室・倉庫 積載荷重 (大梁・柱用),5000.0,N/m²,2,0.95,ファイルAの項目名とファイルBの参照データは「倉庫」の有無で一部異なりますが、数値、単位、および文脈（荷重指針 p.53）から一致すると判断しました。
機械室 積載荷重 (地震用),3000.0,N/m²,2,Approved,機械室・倉庫 積載荷重 (地震用),3000.0,N/m²,2,0.95,ファイルAの項目名とファイルBの参照データは「倉庫」の有無で一部異なりますが、数値、単位、および文脈（荷重指針 p.53）から一致すると判断しました。
標準せん断力係数,0.2,─,2,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
地域係数,1.0,─,2,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
振動特性係数,0.866,─,2,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
地震層せん断力係数,0.2,─,2,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
2F 地震層せん断力係数,0.256,─,2,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
1F 地震層せん断力係数,0.2,─,2,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
基準風速,34.0,m/s,3,Approved,基準風速 Vo (東京都),34.0,m/s,3,0.95,ファイルAの項目名、数値、単位がファイルBの参照データと完全に一致しました。
ガスト影響係数,2.2,─,3,Approved,ガスト影響係数 Gf (粗度区分Ⅲ H=10m),2.2,─,3,0.95,ファイルAの項目名、数値、単位、および文脈（H=10m 粗度Ⅲ）がファイルBの参照データと完全に一致しました。
ピーク速度圧,1780.0,N/m²,3,Approved,ピーク速度圧 qp,1780.0,N/m²,3,0.95,ファイルAの項目名、数値、単位がファイルBの参照データと完全に一致しました。
風力係数（壁面）,1.2,─,3,Approved,閉鎖型（矩形） 総合（壁面） Cf,1.2,─,3,0.95,ファイルAの項目名、数値、単位、および文脈（閉鎖型建物）がファイルBの参照データと完全に一致しました。
SN400B 降伏点,235.0,N/mm²,3,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
SN400B 引張強さ,400.0,N/mm²,3,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
SN400B 長期許容応力度,156.0,N/mm²,3,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
SN490B 降伏点,325.0,N/mm²,3,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
SN490B 引張強さ,490.0,N/mm²,3,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
SN490B 長期許容応力度,215.0,N/mm²,3,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
SS400 降伏点,235.0,N/mm²,3,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
SS400 引張強さ,400.0,N/mm²,3,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
SS400 長期許容応力度,156.0,N/mm²,3,Mismatch,,,,,0.0,ファイルBの参照データリストに一致する項目が見つかりませんでした。
