Check Item Label,Calculated Value,Calculated Unit,Status,Source Document Label,Source Value,Source Unit,Source Page,Confidence,AI Reasoning
屋根 固定荷重,1200.0,N/m²,Approved,折板葺き（断熱材あり）,1200.0,N/m²,1,0.95,ファイルAの「屋根 固定荷重」の値1200 N/m²と単位が、ファイルBの「折板葺き（断熱材あり）」の値1200 N/m²と完全に一致しました。ファイルAのcontext「折板葺き＋断熱材」もファイルBのラベルと一致しています。
床（2階） 固定荷重,3500.0,N/m²,Approved,OAフロア＋スラブ（t=130mm）,3500.0,N/m²,1,0.95,ファイルAの「床（2階） 固定荷重」の値3500 N/m²と単位が、ファイルBの「OAフロア＋スラブ（t=130mm）」の値3500 N/m²と完全に一致しました。ファイルAのcontext「OAフロア＋スラブ」もファイルBのラベルと一致しています。
外壁 固定荷重,800.0,N/m²,Approved,ALC パネル（t=75mm）,800.0,N/m²,2,0.95,ファイルAの「外壁 固定荷重」の値800 N/m²と単位が、ファイルBの「ALC パネル（t=75mm）」の値800 N/m²と完全に一致しました。ファイルAのcontext「ALC 75mm」もファイルBのラベルと一致しています。
内壁 固定荷重,350.0,N/m²,Approved,軽鉄間仕切り（石膏ボード両面）,350.0,N/m²,2,0.95,ファイルAの「内壁 固定荷重」の値350 N/m²と単位が、ファイルBの「軽鉄間仕切り（石膏ボード両面）」の値350 N/m²と完全に一致しました。ファイルAのcontext「軽鉄間仕切り」もファイルBのラベルと一致しています。
事務室 積載荷重 (床用),2900.0,N/m²,Approved,事務室 (床用),2900.0,N/m²,2,0.95,ファイルAの「事務室 積載荷重 (床用)」の値2900 N/m²と単位が、ファイルBの「事務室 (床用)」の値2900 N/m²と完全に一致しました。
事務室 積載荷重 (大梁・柱用),1800.0,N/m²,Approved,事務室 (大梁・柱用),1800.0,N/m²,2,0.95,ファイルAの「事務室 積載荷重 (大梁・柱用)」の値1800 N/m²と単位が、ファイルBの「事務室 (大梁・柱用)」の値1800 N/m²と完全に一致しました。
事務室 積載荷重 (地震用),1300.0,N/m²,Approved,事務室 (地震用),1300.0,N/m²,2,0.95,ファイルAの「事務室 積載荷重 (地震用)」の値1300 N/m²と単位が、ファイルBの「事務室 (地震用)」の値1300 N/m²と完全に一致しました。
廊下・階段 積載荷重 (床用),3500.0,N/m²,Approved,廊下・階段・玄関 (床用),3500.0,N/m²,2,0.9,ファイルAの「廊下・階段 積載荷重 (床用)」の値3500 N/m²と単位が、ファイルBの「廊下・階段・玄関 (床用)」の値3500 N/m²と一致しました。ラベルに「玄関」の有無で若干の差異がありますが、数値と用途は一致しています。
廊下・階段 積載荷重 (大梁・柱用),2500.0,N/m²,Approved,廊下・階段・玄関 (大梁・柱用),2500.0,N/m²,2,0.9,ファイルAの「廊下・階段 積載荷重 (大梁・柱用)」の値2500 N/m²と単位が、ファイルBの「廊下・階段・玄関 (大梁・柱用)」の値2500 N/m²と一致しました。ラベルに「玄関」の有無で若干の差異がありますが、数値と用途は一致しています。
廊下・階段 積載荷重 (地震用),1500.0,N/m²,Approved,廊下・階段・玄関 (地震用),1500.0,N/m²,2,0.9,ファイルAの「廊下・階段 積載荷重 (地震用)」の値1500 N/m²と単位が、ファイルBの「廊下・階段・玄関 (地震用)」の値1500 N/m²と一致しました。ラベルに「玄関」の有無で若干の差異がありますが、数値と用途は一致しています。
屋上（一般） 積載荷重 (床用),1800.0,N/m²,Approved,屋上（一般） (床用),1800.0,N/m²,2,0.95,ファイルAの「屋上（一般） 積載荷重 (床用)」の値1800 N/m²と単位が、ファイルBの「屋上（一般） (床用)」の値1800 N/m²と完全に一致しました。
屋上（一般） 積載荷重 (大梁・柱用),1300.0,N/m²,Approved,屋上（一般） (大梁・柱用),1300.0,N/m²,2,0.95,ファイルAの「屋上（一般） 積載荷重 (大梁・柱用)」の値1300 N/m²と単位が、ファイルBの「屋上（一般） (大梁・柱用)」の値1300 N/m²と完全に一致しました。
屋上（一般） 積載荷重 (地震用),600.0,N/m²,Approved,屋上（一般） (地震用),600.0,N/m²,2,0.95,ファイルAの「屋上（一般） 積載荷重 (地震用)」の値600 N/m²と単位が、ファイルBの「屋上（一般） (地震用)」の値600 N/m²と完全に一致しました。
機械室 積載荷重 (床用),5000.0,N/m²,Approved,機械室・倉庫 (床用),5000.0,N/m²,2,0.9,ファイルAの「機械室 積載荷重 (床用)」の値5000 N/m²と単位が、ファイルBの「機械室・倉庫 (床用)」の値5000 N/m²と一致しました。ラベルに「倉庫」の有無で若干の差異がありますが、数値と用途は一致しています。
機械室 積載荷重 (大梁・柱用),5000.0,N/m²,Approved,機械室・倉庫 (大梁・柱用),5000.0,N/m²,2,0.9,ファイルAの「機械室 積載荷重 (大梁・柱用)」の値5000 N/m²と単位が、ファイルBの「機械室・倉庫 (大梁・柱用)」の値5000 N/m²と一致しました。ラベルに「倉庫」の有無で若干の差異がありますが、数値と用途は一致しています。
機械室 積載荷重 (地震用),3000.0,N/m²,Approved,機械室・倉庫 (地震用),3000.0,N/m²,2,0.9,ファイルAの「機械室 積載荷重 (地震用)」の値3000 N/m²と単位が、ファイルBの「機械室・倉庫 (地震用)」の値3000 N/m²と一致しました。ラベルに「倉庫」の有無で若干の差異がありますが、数値と用途は一致しています。
標準せん断力係数,0.2,─,Mismatch,,,,,0.5,ファイルBの参照データリストには、標準せん断力係数に関する直接的な数値データが見つかりませんでした。法令の条文から導かれる値であり、ファイルBは主に荷重の基準値や係数に特化しているため、直接的な一致はありません。
地域係数,1.0,─,Mismatch,,,,,0.5,ファイルBの参照データリストには、地域係数に関する直接的な数値データが見つかりませんでした。法令の条文や告示から参照される値であり、ファイルBは主に荷重の基準値や係数に特化しているため、直接的な一致はありません。
振動特性係数,0.866,─,Mismatch,,,,,0.5,ファイルBの参照データリストには、振動特性係数に関する直接的な数値データが見つかりませんでした。法令の条文や計算式から導かれる値であり、ファイルBは主に荷重の基準値や係数に特化しているため、直接的な一致はありません。
地震層せん断力係数,0.2,─,Mismatch,,,,,0.5,ファイルBの参照データリストには、地震層せん断力係数に関する直接的な数値データが見つかりませんでした。法令の条文や計算式から導かれる値であり、ファイルBは主に荷重の基準値や係数に特化しているため、直接的な一致はありません。
基準風速,34.0,m/s,Approved,基準風速 Vo (東京都),34.0,m/s,3,0.95,ファイルAの「基準風速」の値34.0 m/sと単位が、ファイルBの「基準風速 Vo (東京都)」の値34.0 m/sと完全に一致しました。ファイルAのsource_hint「告示第1454号 東京都」もファイルBのcontextと一致しています。
ガスト影響係数,2.2,─,Approved,ガスト影響係数 Gf (粗度Ⅲ H=10m),2.2,─,3,0.95,ファイルAの「ガスト影響係数」の値2.2と単位が、ファイルBの「ガスト影響係数 Gf (粗度Ⅲ H=10m)」の値2.2と完全に一致しました。ファイルAのsource_hint「荷重指針 p.128 H=10m 粗度Ⅲ」もファイルBのラベルとcontextと一致しています。
